gen,lineage_id,mut_id,o,changed_nodes,changed_edges,R0,R1,P0,P1,d0,d1,detour,delta_paths,delta_sp,heal_flag,time_to_heal,disjoint_paths0,disjoint_paths1
1,12,12_asexual_clone,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,13,13_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,14,14_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,15,15_asexual_clone,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,16,16_sexual_within,2,0,0,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,17,17_sexual_within,2,0,0,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,18,18_asexual_clone,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,19,19_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
1,20,20_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,22,22_asexual_clone,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,23,23_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,24,24_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,25,25_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,26,26_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,27,27_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,28,28_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,29,29_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
2,30,30_asexual_clone,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,32,32_sexual_within,2,0,0,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,33,33_sexual_within,2,0,0,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,34,34_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,35,35_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,36,36_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,37,37_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,38,38_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,39,39_asexual_clone,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
3,40,40_sexual_within,2,4,3,1,1,2,2,1,1,1.0,0,0,0,,2,2
